Run,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,exploration_final_eps,target_update_interval,Mean Reward,Std Reward,Notes
1,0.0001,0.99,10000,64,0.3,0.05,100,-85.76,0.0,Baseline
2,0.001,0.99,10000,64,0.3,0.05,100,-84.73,0.0,Higher LR
3,0.0001,0.95,10000,64,0.3,0.05,100,-84.39,0.0,Lower gamma
4,0.0001,0.99,50000,64,0.3,0.05,100,-83.66,0.0,Larger buffer
5,0.0001,0.99,10000,128,0.3,0.05,100,-87.22,0.0,Larger batch
6,0.0001,0.99,10000,64,0.5,0.05,100,-86.35,0.0,More exploration
7,0.0001,0.99,10000,64,0.1,0.05,100,-84.95,0.0,Less exploration
8,0.0001,0.99,10000,64,0.3,0.01,100,-85.16,0.0,Lower final eps
9,0.0001,0.99,10000,64,0.3,0.05,500,-83.82,0.0,Slower target update
10,5e-05,0.999,20000,32,0.4,0.02,200,-222.53,0.0,Combined changes
