t,intensity,replicas,avg_cpu_m,p95_latency_s
0.0,0.0,1,5.0,0.0
15.2,0.1,1,6.0,0.0
30.3,0.2,3,349.0,0.585
45.4,0.3,8,498.5,0.846
60.5,0.4,6,169.2,0.92
75.6,0.5,6,167.0,0.939
90.7,0.6,6,167.3,1.033
105.8,0.71,6,167.2,1.05
120.8,0.81,6,167.0,1.033
135.9,0.91,6,167.2,1.065
151.0,0.99,6,165.8,1.085
166.1,0.89,6,167.2,1.11
181.2,0.79,6,167.2,1.172
196.3,0.69,6,167.8,1.073
211.4,0.59,6,166.8,1.087
226.5,0.49,6,167.0,1.034
241.6,0.39,6,168.3,1.019
256.7,0.29,6,167.2,0.984
271.8,0.19,6,167.3,0.97
286.9,0.09,6,167.2,0.831
