Run,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,exploration_final_eps,target_update_interval,Mean Reward,Std Reward,Notes
1,0.0001,0.99,10000,64,0.3,0.05,100,-344.58,7.74,Baseline
2,0.001,0.99,10000,64,0.3,0.05,100,-356.15,10.78,Higher LR
3,0.0001,0.95,10000,64,0.3,0.05,100,-351.05,11.36,Lower gamma
4,0.0001,0.99,50000,64,0.3,0.05,100,-480.02,44.82,Larger buffer
5,0.0001,0.99,10000,128,0.3,0.05,100,-347.44,9.61,Larger batch
6,0.0001,0.99,10000,64,0.5,0.05,100,-409.92,27.03,More exploration
7,0.0001,0.99,10000,64,0.1,0.05,100,-349.71,10.75,Less exploration
8,0.0001,0.99,10000,64,0.3,0.01,100,-394.77,23.22,Lower final eps
9,0.0001,0.99,10000,64,0.3,0.05,500,-356.65,11.75,Slower target update
10,5e-05,0.999,20000,32,0.4,0.02,200,-489.38,42.37,Combined changes
