algorithm,run,timesteps,eval_reward_mean,eval_reward_std
DQN,1,5000,-598.74,0.62
DQN,1,10000,-603.81,0.0
DQN,1,15000,-603.81,0.0
DQN,1,20000,-603.81,0.0
DQN,1,25000,-437.56,10.19
DQN,1,30000,-502.29,56.01
DQN,1,35000,-442.38,31.14
DQN,1,40000,-501.56,2.43
DQN,1,45000,-500.73,2.84
DQN,1,50000,-604.13,1.14
DQN,1,55000,-459.3,31.28
DQN,1,60000,-441.6,20.99
DQN,1,65000,-470.69,26.56
DQN,1,70000,-467.78,5.32
DQN,1,75000,-451.15,27.86
DQN,1,80000,-415.09,4.55
DQN,1,85000,-467.16,27.46
DQN,1,90000,-437.39,27.9
DQN,1,95000,-400.14,4.75
DQN,1,100000,-459.43,30.72
DQN,1,105000,-480.22,2.41
DQN,1,110000,-386.2,8.85
DQN,1,115000,-539.56,59.38
DQN,1,120000,-353.37,7.01
DQN,1,125000,-369.22,8.49
DQN,1,130000,-353.81,7.31
DQN,1,135000,-368.7,5.59
DQN,1,140000,-370.36,19.72
DQN,1,145000,-363.11,8.9
DQN,1,150000,-357.56,8.91
PPO,6,20000,-472.13,17.53
PPO,6,40000,-371.3,10.25
PPO,6,60000,-359.08,0.74
PPO,6,80000,-350.32,10.77
PPO,6,100000,-355.31,9.11
PPO,6,120000,-352.69,7.26
PPO,6,140000,-353.59,8.41
