Run,learning_rate,gamma,n_steps,batch_size,n_epochs,ent_coef,clip_range,Mean Reward,Std Reward,Notes
1,0.0003,0.99,2048,64,10,0.01,0.2,-349.25,9.08,Baseline
2,0.001,0.99,2048,64,10,0.01,0.2,-344.65,10.79,Higher LR
3,0.0001,0.99,2048,64,10,0.01,0.2,-348.55,9.31,Lower LR
4,0.0003,0.95,2048,64,10,0.01,0.2,-340.41,10.68,Lower gamma
5,0.0003,0.99,512,64,10,0.01,0.2,-351.33,9.3,Shorter rollouts
6,0.0003,0.99,2048,128,10,0.01,0.2,-340.07,10.24,Larger batch
7,0.0003,0.99,2048,64,10,0.05,0.2,-346.41,8.87,More entropy
8,0.0003,0.99,2048,64,10,0.01,0.3,-347.68,10.24,Wider clip range
9,0.0003,0.99,2048,64,4,0.01,0.2,-346.62,7.88,Fewer epochs
10,0.0005,0.98,1024,128,5,0.02,0.25,-351.27,8.37,Combined changes
