algorithm,run,metric,step,value
PPO,6,train/value_loss,16384,306.68518
PPO,6,train/value_loss,20000,259.37659
PPO,6,train/value_loss,32768,165.81369
PPO,6,train/value_loss,40000,98.38949
PPO,6,train/value_loss,49152,49.33552
PPO,6,train/value_loss,57344,30.66121
PPO,6,train/value_loss,60000,19.18593
PPO,6,train/value_loss,73728,7.39921
PPO,6,train/value_loss,80000,7.73055
PPO,6,train/value_loss,90112,6.41845
PPO,6,train/value_loss,98304,6.85775
PPO,6,train/value_loss,100000,6.97284
PPO,6,train/value_loss,114688,8.18519
PPO,6,train/value_loss,120000,8.50076
PPO,6,train/value_loss,131072,9.14433
PPO,6,train/value_loss,139264,9.80272
PPO,6,train/value_loss,140000,8.50202
PPO,6,train/value_loss,155648,8.9552
PPO,6,train/policy_gradient_loss,16384,-0.01207
PPO,6,train/policy_gradient_loss,20000,-0.00385
PPO,6,train/policy_gradient_loss,32768,-0.01202
PPO,6,train/policy_gradient_loss,40000,-0.00821
PPO,6,train/policy_gradient_loss,49152,-0.00998
PPO,6,train/policy_gradient_loss,57344,-0.00171
PPO,6,train/policy_gradient_loss,60000,-0.00343
PPO,6,train/policy_gradient_loss,73728,-0.00269
PPO,6,train/policy_gradient_loss,80000,-0.00486
PPO,6,train/policy_gradient_loss,90112,-0.00074
PPO,6,train/policy_gradient_loss,98304,-0.00017
PPO,6,train/policy_gradient_loss,100000,-0.00258
PPO,6,train/policy_gradient_loss,114688,-0.00116
PPO,6,train/policy_gradient_loss,120000,-0.00285
PPO,6,train/policy_gradient_loss,131072,-0.00036
PPO,6,train/policy_gradient_loss,139264,-0.0019
PPO,6,train/policy_gradient_loss,140000,-0.00454
PPO,6,train/policy_gradient_loss,155648,-3e-05
PPO,6,train/entropy_loss,16384,-1.08864
PPO,6,train/entropy_loss,20000,-1.091
PPO,6,train/entropy_loss,32768,-1.08976
PPO,6,train/entropy_loss,40000,-1.0813
PPO,6,train/entropy_loss,49152,-1.07222
PPO,6,train/entropy_loss,57344,-1.06974
PPO,6,train/entropy_loss,60000,-1.05757
PPO,6,train/entropy_loss,73728,-1.05004
PPO,6,train/entropy_loss,80000,-1.0399
PPO,6,train/entropy_loss,90112,-1.02995
PPO,6,train/entropy_loss,98304,-1.03028
PPO,6,train/entropy_loss,100000,-1.01811
PPO,6,train/entropy_loss,114688,-1.00957
PPO,6,train/entropy_loss,120000,-1.00855
PPO,6,train/entropy_loss,131072,-1.00099
PPO,6,train/entropy_loss,139264,-0.98799
PPO,6,train/entropy_loss,140000,-0.96875
PPO,6,train/entropy_loss,155648,-0.95779
DQN,1,train/loss,1152,0.66509
DQN,1,train/loss,2304,0.56685
DQN,1,train/loss,3456,0.32795
DQN,1,train/loss,4608,0.87943
DQN,1,train/loss,5000,0.51172
DQN,1,train/loss,5760,0.7495
DQN,1,train/loss,6912,1.03415
DQN,1,train/loss,8064,1.28829
DQN,1,train/loss,9216,1.54585
DQN,1,train/loss,10000,1.59989
DQN,1,train/loss,10368,1.89115
DQN,1,train/loss,11520,1.69808
DQN,1,train/loss,12672,2.07965
DQN,1,train/loss,13824,2.20759
DQN,1,train/loss,14976,2.07267
DQN,1,train/loss,15000,2.06216
DQN,1,train/loss,16128,2.33918
DQN,1,train/loss,17280,2.87089
DQN,1,train/loss,18432,1.58673
DQN,1,train/loss,19584,1.55749
DQN,1,train/loss,20000,2.08417
DQN,1,train/loss,20736,2.45647
DQN,1,train/loss,21888,2.54849
DQN,1,train/loss,23040,2.14625
DQN,1,train/loss,24192,2.13494
DQN,1,train/loss,25000,2.2555
DQN,1,train/loss,25344,2.95058
DQN,1,train/loss,26496,2.24357
DQN,1,train/loss,27648,2.32928
DQN,1,train/loss,28800,2.18787
DQN,1,train/loss,29952,2.46664
DQN,1,train/loss,30000,2.69784
DQN,1,train/loss,31104,1.99663
DQN,1,train/loss,32256,2.24185
DQN,1,train/loss,33408,2.09435
DQN,1,train/loss,34560,1.90488
DQN,1,train/loss,35000,2.21562
DQN,1,train/loss,35712,2.46932
DQN,1,train/loss,36864,1.64445
DQN,1,train/loss,38016,1.42818
DQN,1,train/loss,39168,1.86356
DQN,1,train/loss,40000,1.3369
DQN,1,train/loss,40320,2.08423
DQN,1,train/loss,41472,1.25671
DQN,1,train/loss,42624,1.15194
DQN,1,train/loss,43776,1.40251
DQN,1,train/loss,44928,1.3149
DQN,1,train/loss,45000,1.59295
DQN,1,train/loss,46080,0.87684
