Run,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,exploration_final_eps,target_update_interval,Mean Reward,Std Reward,Notes
1,0.0001,0.99,10000,64,0.3,0.05,100,-61.27,0.72,Baseline
2,0.001,0.99,10000,64,0.3,0.05,100,-12.55,0.25,Higher LR
3,0.0001,0.95,10000,64,0.3,0.05,100,-60.62,1.02,Lower gamma
4,0.0001,0.99,50000,64,0.3,0.05,100,-12.34,0.25,Larger buffer
5,0.0001,0.99,10000,128,0.3,0.05,100,-12.38,0.29,Larger batch
6,0.0001,0.99,10000,64,0.5,0.05,100,-12.21,0.1,More exploration
7,0.0001,0.99,10000,64,0.1,0.05,100,-12.39,0.37,Less exploration
8,0.0001,0.99,10000,64,0.3,0.01,100,-12.82,2.06,Lower final eps
9,0.0001,0.99,10000,64,0.3,0.05,500,-56.07,0.38,Slower target update
10,5e-05,0.999,20000,32,0.4,0.02,200,-15.7,0.72,Combined changes
