Run,learning_rate,gamma,entropy_coef,use_baseline,hidden,Mean Reward,Std Reward,Notes
1,0.001,0.99,0.01,True,64,-12.67,0.25,Baseline
2,0.003,0.99,0.01,True,64,-12.76,0.24,Higher LR
3,0.0005,0.99,0.01,True,64,-12.58,0.29,Lower LR
4,0.001,0.95,0.01,True,64,-38.3,30.38,Lower gamma
5,0.001,0.99,0.05,True,64,-12.6,0.12,More entropy
6,0.001,0.99,0.001,True,64,-12.57,0.24,Less entropy
7,0.001,0.99,0.01,False,64,-12.67,0.14,No baseline
8,0.001,0.99,0.01,True,128,-12.68,0.23,Larger network
9,0.001,0.999,0.01,True,64,-12.57,0.21,Higher gamma
10,0.002,0.98,0.02,True,128,-12.68,0.19,Combined changes
